id,title,release_date,moby_score,moby_url,platforms,genres,developers,publishers
138045,Funny Bunny Adventures: Fairy Tale,2019-04-11,,https://www.mobygames.com/game/138045/funny-bunny-adventures-fairy-tale/,"Nintendo Switch, Macintosh, Linux, iPhone, Windows, Windows Phone, Windows Apps, Android, iPad","Adventure, Arcade, Educational, Isometric, Math / logic, Fantasy, Puzzle, Diagonal-down, Direct control",mPower Games Studio,"mPower Games Studio, Drageus Games S.A."
61581,GeoGuessr,2013-05-09,,https://www.mobygames.com/game/61581/geoguessr/,"Browser, iPad, Android, iPhone","1st-person, Educational, Puzzle elements, Geography",GeoGuessr AB,GeoGuessr AB
184202,Get-A-Grip Chip and the Body Bugs,2022-05-12,,https://www.mobygames.com/game/184202/get-a-grip-chip-and-the-body-bugs/,"Xbox Series, iPad, Xbox One, iPhone, Linux, Windows, Browser, Macintosh, Nintendo Switch","Action, Educational, Side view, Platform, Puzzle elements, Science, 2D scrolling, Direct control",Redstart Interactive,Redstart Interactive
77397,Giraffe's PreSchool Playground,2009-05-14,,https://www.mobygames.com/game/77397/giraffes-preschool-playground/,"Android, iPad, iPhone","Educational, Pre-school / toddler, Music",Tomato Interactive LLC,Tomato Interactive LLC
77399,Giraffe's PreSchool Playground 2,2015-06-29,,https://www.mobygames.com/game/77399/giraffes-preschool-playground-2/,"iPad, iPhone","Educational, Pre-school / toddler, Music",Tomato Interactive LLC,Tomato Interactive LLC
150651,Glider Guide,2020-01-09,,https://www.mobygames.com/game/150651/glider-guide/,"Browser, iPhone, iPad, Android","Simulation, 1st-person, Educational, Real-time, Flight / aviation, Game show / trivia / quiz, Ecology / nature, Contemporary, North America",Smithsonian Science Education Center,Smithsonian Institution
71007,Google Maps: Pokémon Challenge,2014-04-01,,https://www.mobygames.com/game/71007/google-maps-pokemon-challenge/,"iPhone, iPad, Android","Adventure, Educational, Top-down, Anime / Manga, Geography, Licensed",Google Inc.,Google Inc.
196587,Grammarian Ltd,2022-03-18,,https://www.mobygames.com/game/196587/grammarian-ltd/,"Nintendo Switch, Windows, iPhone, iPad, Android","Simulation, Sci-fi / futuristic, Educational, Managerial / business simulation, Reading / writing, Fixed / flip-screen, Point and select","Simpleton, Algorocks Gim Indonesia",Algorocks Gim Indonesia
79032,Grom Skate,2015-11-13,,https://www.mobygames.com/game/79032/grom-skate/,"iPad, iPhone","Action, Sci-fi / futuristic, Educational, Platform, Math / logic, Skateboarding, Tricks / stunts, Behind view, Direct control","Loot Drop, Inc.","Grom Social, Inc"
121993,Guess the Word,2015-12-09,,https://www.mobygames.com/game/121993/guess-the-word/,"Nintendo Switch, iPad, tvOS","1st-person, Educational, Reading / writing, Pre-school / toddler, Fixed / flip-screen, Point and select",Tenkai PL S.C.,"Ultimate Games S.A., Tenkai PL S.C."
148514,Hamster Bob,2019-02-06,,https://www.mobygames.com/game/148514/hamster-bob/,"Windows Phone, Windows Apps, Android, iPad, Nintendo Switch, iPhone","Educational, Side view, Graphics / art, 2D scrolling, Fixed / flip-screen, Point and select, Direct control","Berrylife Studio sp. z o.o., Wild Berry Games","Berrylife Studio sp. z o.o., Wild Berry Games, SONKA S.A."
60223,Happy Piggy!,2013-03-03,,https://www.mobygames.com/game/60223/happy-piggy/,"iPhone, iPad","Educational, Side view, Reading / writing, Pre-school / toddler",Third Party Ninjas LLC,Third Party Ninjas LLC
4723,Harry and the Haunted House,1994,,https://www.mobygames.com/game/4723/harry-and-the-haunted-house/,"Windows, Windows 16-bit, Macintosh, iPhone, Android, iPad","Educational, Reading / writing, Fantasy, 3rd-person (Other), Fixed / flip-screen, Point and select, Interactive book",Living Books,"Living Books, Mattel Interactive Deutschland GmbH, Jordan Freeman Group, LLC, Wanderful Inc."
73823,Hello Kitty: Lunchbox,2015-06-24,,https://www.mobygames.com/game/73823/hello-kitty-lunchbox/,"iPhone, iPad","Simulation, Educational, Top-down, Side view, Pre-school / toddler, Anime / Manga, Licensed, Health / nutrition",Budge Studios Inc.,Budge Studios Inc.
110085,Help Klaas Vaak Zand Zoeken,2017-08-16,,https://www.mobygames.com/game/110085/help-klaas-vaak-zand-zoeken/,"iPhone, Android","Action, 1st-person, Educational, Licensed, Puzzle, Free camera",Efteling B.V.,Efteling B.V.
99442,Hiragana Pixel Party,2012-05-15,,https://www.mobygames.com/game/99442/hiragana-pixel-party/,"Nintendo Switch, iPhone, Windows, iPad","Action, Educational, Side view, Foreign language, Music / rhythm, 2D scrolling",Springloaded Pte. Ltd.,Springloaded Pte. Ltd.
106914,History Oggy,2017-11-01,,https://www.mobygames.com/game/106914/history-oggy/,"iPhone, Android, iPad","Educational, Historical events, Game show / trivia / quiz, Anime / Manga, History, Licensed, Turn-based, Comedy, 3rd-person (Other), Fixed / flip-screen, Point and select, Prehistoric, China (Ancient / Imperial), Egypt (Ancient), Europe, Classical antiquity",Xilam Animation,Xilam Animation
202985,Hocus Pocus Alfie Atkins,2014-01-31,,https://www.mobygames.com/game/202985/hocus-pocus-alfie-atkins/,"iPhone, iPad, Android","Educational, Licensed, 3rd-person (Other), Mini-games, Point and select",Hyper Games AS,Hyper Games AS
150645,Home on the Range,2020-02-27,,https://www.mobygames.com/game/150645/home-on-the-range/,"Browser, iPhone, iPad, Android","Educational, Game show / trivia / quiz, Ecology / nature, Science, Turn-based, Text-based / Spreadsheet, Fixed / flip-screen, Point and select, North America",Smithsonian Science Education Center,Smithsonian Institution
136216,Homes,2014-11-12,,https://www.mobygames.com/game/136216/homes/,"iPhone, iPad","Simulation, Educational, Sociology, Fixed / flip-screen, Life / social simulation, Point and select, Contemporary",Tinybop Inc.,Tinybop Inc.
